subject_num overall_main_dp corrected_NN_HR corrected_NI_HR corrected_IN_HR corrected_II_HR corrected_WN_CRR corrected_WI_CRR main_dp_II main_dp_IN main_dp_NI main_dp_NN typed_correct_dp_II typed_correct_dp_IN typed_correct_dp_NI typed_correct_dp_NN Overall_list_Accuracy n_Accuracy i_Accuracy main_list_Accuracy main_n_Accuracy main_i_Accuracy main_Initiation main_Submission main_n_initiation main_n_submission main_i_initiation main_i_submission RT median_diff_RT median_inverted_RT median_normal_RT II_RT IN_RT NI_RT NN_RT WI_RT WN_RT main_RT main_II_RT main_IN_RT main_NI_RT main_NN_RT main_WI_RT main_WN_RT miss_II_RT miss_IN_RT miss_NI_RT miss_NN_RT FA_WN_RT FA_WI_RT total_time_taken diff_dp_old_new diff_submission diff_dp_old_new_1 diff_dp_old_new_2 dp_rII dp_eII dp_rIN dp_eIN dp_rNI dp_eNI dp_rNN dp_eNN production production_rt id
11 2.15587576636882 0.475609756097561 0.621951219512195 0.621951219512195 0.792682926829268 0.95679012345679 0.969135802469136 2.68400736879487 2.02520307914835 2.17885108024619 1.65341824272754 2.39099566414829 1.90382824340531 1.94500316295821 1.5320434069845 0.988636363636364 0.988636363636364 0.988636363636364 0.9875 0.9875 0.9875 0.974850000000004 1.61055000000005 0.894299999999987 1.51520000000005 1.18049999999994 1.81870000000004 0.948700000000031 0.00254999999989991 0.979199999999992 0.976650000000092 0.920500000000061 0.929999999999836 1.06330000000003 0.905650000000037 1.06115 0.8827 0.984250000000003 0.9649 0.995900000000006 1.08000000000015 0.897500000000036 1.09244999999999 0.893199999999979 1.13009999999997 1.34830000000011 1.79590000000007 1.077 1.32099999999991 2.43915000000004 -64.7914 0.582570159804453 0.303499999999985 -0.131094213880984 1.39404315881016 0.919700308024885 1.9348431322034 0.348415403963751 1.9348431322034 0.162568034022666 1.75906017384508 -0.0480283631125986 1.46462213678326 0.364583333 14.4272 KBFTZDD
12 1.75104757566357 0.719512195121951 0.841463414634146 0.890243902439024 0.963414634146341 0.771604938271605 0.722222222222222 2.38122008522829 1.97196900353144 1.58994634346909 1.32553574875262 2.29423670273918 2.8907617466396 1.5394695535191 2.17461182455551 0.914772727272727 0.965909090909091 0.863636363636364 0.90625 0.9625 0.85 1.04919999999993 1.61599999999999 0.833200000000033 1.34949999999992 1.67415000000005 2.26589999999987 1.28684999999999 -0.020200000000159 1.15009999999984 1.1703 1.39800000000002 0.907349999999951 1.37974999999994 1.04920000000004 2.66585000000003 1.01595000000003 1.24904999999995 1.51559999999995 0.890699999999924 1.38215000000002 1.04909999999995 2.39864999999986 0.999299999999891 2.24889999999982 2.56534999999997 2.71995000000004 0.998800000000074 1.36415000000005 1.93194999999997 -213.1629 0.551313749247195 0.916399999999953 0.119074836885406 0.131962333072959 2.43265535878722 2.57020819449706 0.967421566101701 2.0546895905353 1.46462213678326 2.57020819449706 0.36610635680057 1.38109440559315 11.33333588 53.3715 KBDWDHT
13 1.31121354490455 0.890243902439024 0.841463414634146 0.841463414634146 0.890243902439024 0.574074074074074 0.561728395061728 1.38317903921384 1.18724666668305 1.15584332352188 1.41458238237501 3.23807244497452 1.9920139586418 2.54323257369237 2.2489731316463 0.840909090909091 0.875 0.806818181818182 0.84375 0.8875 0.8 0.912999999999954 1.52750000000003 0.844900000000052 1.39549999999997 1.11204999999995 1.74370000000005 0.994400000000041 -0.0846999999999696 0.861150000000009 0.945849999999979 0.902249999999967 0.829899999999952 0.96040000000005 0.861899999999991 1.27559999999994 1.02789999999999 0.989299999999957 0.888949999999966 0.829799999999977 0.968450000000075 0.861899999999991 1.279 1.05285000000003 2.5068 1.15264999999999 1.07939999999996 0.89429999999993 1.16945000000004 1.19589999999994 -84.7122 -0.0314033431611742 0.348200000000077 0.140283590280823 -1.10495897727042 2.56064038412475 2.43265535878722 1.55687736395148 1.55687736395148 2.38485742576643 2.14718268371356 1.55687736395148 2.0546895905353 0.185185892 15.447 KBDHTKF
14 1.73268439862639 0.573170731707317 0.621951219512195 0.817073170731707 0.865853658536585 0.895061728395062 0.845679012345679 2.1250785955515 2.15817232777328 1.32868514039585 1.43835742126845 2.76013741915837 2.65063304650943 1.89455533888263 1.72211992917209 0.875 0.909090909090909 0.840909090909091 0.88125 0.9375 0.825 0.848599999999976 1.54849999999988 0.781599999999997 1.38200000000001 1.00659999999993 1.88095000000001 1.09755000000001 -0.0497499999998468 1.03975000000008 1.08949999999993 1.0976 1.01469999999995 1.13009999999997 1.148 1.25579999999999 1.01465000000007 1.07304999999997 1.06409999999994 0.981499999999983 1.09739999999999 1.04790000000003 1.24825000000004 0.981249999999932 1.24669999999998 1.18020000000001 1.36410000000001 1.16489999999999 1.24739999999997 1.5145 -54.2312 0.532093582084999 0.498950000000008 0.39644376707635 -0.0140948709118545 1.22693995881216 3.57397121467033 1.75906017384508 1.9348431322034 0.469807684809936 2.38485742576643 0.847773453061859 1.46462213678326 2.45202106 7.4545 KTRHZZK
15 1.47882326980946 0.573170731707317 0.597560975609756 0.719512195121951 0.865853658536585 0.796296296296296 0.87037037037037 2.23514652581667 1.40985765511359 1.37518263601774 1.01291708567588 2.26496449471825 2.22462071226281 1.20038542037307 1.72211992917209 0.903409090909091 0.931818181818182 0.875 0.90625 0.9375 0.875 1.14019999999999 1.82420000000002 0.844900000000052 1.51440000000002 1.78469999999999 2.43274999999994 0.927650000000085 -0.0333999999999719 0.897899999999993 0.931299999999965 1.02970000000005 0.74860000000001 1.0052 0.783500000000004 1.29689999999999 0.776899999999955 0.940499999999929 1.07889999999998 0.766399999999976 1.04755 0.848000000000184 1.33805000000001 0.781499999999937 0.959900000000061 0.799499999999853 1.16989999999998 0.847599999999943 0.868900000000167 1.16430000000003 -198.1515 0.909798874511395 0.918349999999919 0.550598213857348 1.39005040971134 1.07385475480588 3.05845261070857 1.71286693106289 2.77297993563491 0.162568034022666 2.23070297898543 1.35217842413702 2.23070297898543 1.231282552 15.0871 KTPDPKF
16 2.1754203546162 0.890243902439024 0.914634146341463 0.963414634146341 0.963414634146341 0.697530864197531 0.759259259259259 2.49568607620703 2.3090764405943 2.07377826833931 1.74513841452706 3.33766636016402 2.74788590779373 2.8907617466396 2.32373331143695 0.9375 0.931818181818182 0.943181818181818 0.93125 0.925 0.9375 1.20049999999998 2.16599999999994 1.07365000000007 1.99004999999997 1.36450000000013 2.28159999999991 0.998000000000047 -0.065400000000011 0.831399999999974 0.896799999999985 0.863399999999956 0.831699999999955 0.980999999999995 0.856550000000055 1.28140000000008 1.09819999999999 0.982200000000034 0.831500000000005 0.831299999999942 0.93100000000004 0.848849999999999 1.24739999999997 1.09859999999998 1.2799 1.51430000000005 1.34809999999993 1.04870000000005 1.09 1.14880000000016 -58.5626 0.729893601583681 0.291549999999944 0.682560546930307 -0.550598213857348 3.05845261070857 3.57397121467033 3.57397121467033 3.05845261070857 2.77297993563491 3.05845261070857 2.77297993563491 2.77297993563491 13.13802083 14.0956 KBBDFPP
17 1.78404106768286 0.841463414634146 0.768292682926829 0.695121951219512 0.890243902439024 0.808641975308642 0.833333333333333 2.19524782741297 1.38332446211852 1.70065734928721 1.87339336507461 2.69002238011656 2.11761933073109 2.31208687084577 2.56064038412475 0.863636363636364 0.909090909090909 0.818181818181818 0.86875 0.9125 0.825 1.26379999999995 2.21320000000003 1.11400000000003 1.96540000000005 1.41314999999997 2.38640000000004 0.996499999999969 -0.0335999999999785 0.913400000000024 0.947000000000003 1.03905 0.813549999999964 1.09590000000003 0.847800000000007 1.18110000000001 0.963899999999967 0.996499999999969 1.03069999999997 0.813549999999964 1.09590000000003 0.856049999999982 1.21430000000009 0.966699999999946 1.05424999999997 0.99675000000002 1.56310000000008 1.01425000000006 0.997600000000034 1.3456000000001 -75.2599 0.0500805757722391 0.420999999999992 0.497812226583822 0.329937405139324 1.76921691546164 2.14718268371356 0.830496191735805 1.38109440559315 0.830496191735805 2.43265535878722 1.38109440559315 1.76921691546164 0.726582845 19.0494 KTHPFRZ
18 0.922320817238458 0.841463414634146 0.670731707317073 0.792682926829268 0.841463414634146 0.537037037037037 0.549382716049383 1.12459247834025 0.908737562492008 0.566036459105916 1.09346239418039 2.11777094647771 1.02381019092402 1.41024322369821 1.23222990273183 0.772727272727273 0.920454545454545 0.625 0.775 0.925 0.625 1.08149999999989 1.8065 0.882000000000033 1.42399999999998 1.55650000000003 3.4905 1.33099999999999 0.0745000000000005 1.18950000000001 1.11500000000001 1.52249999999995 0.881500000000031 1.93150000000014 0.815499999999929 2.73099999999999 1.15950000000004 1.30649999999997 1.57249999999999 0.87299999999999 1.8309999999999 0.798000000000002 2.66200000000003 1.14800000000014 1.53049999999996 1.08949999999993 1.70499999999993 1.14800000000002 1.01499999999987 2.23199999999997 -75.104 0.246343817377561 2.06650000000002 0.241040393886027 0.443264320850623 1.24963771316421 1.55687736395148 0.919700308024885 1.24963771316421 0.523256540948535 1.22693995881216 1.46197726467437 1.07385475480588 4.558638649 17.416 KTPPRPP
19 0.649597640851459 0.548780487804878 0.646341463414634 0.646341463414634 0.646341463414634 0.537037037037037 0.722222222222222 0.964917568085297 0.468433618796592 0.964917568085297 0.215552692449876 1.2579283372251 1.96868058825857 1.31920591103686 1.66101743346429 0.931818181818182 0.943181818181818 0.920454545454545 0.93125 0.9375 0.925 1.20550000000003 1.89619999999991 1.10160000000002 1.76969999999994 1.38139999999999 2.09440000000006 1.01819999999998 -0.0492000000000417 0.860749999999996 0.909950000000038 1.05074999999999 0.741300000000038 0.99875000000003 0.965099999999978 1.22149999999999 1.00139999999999 0.950500000000034 0.999649999999974 0.716899999999953 0.888149999999996 0.916050000000041 1.13464999999991 0.974599999999896 0.896350000000098 0.973349999999982 0.836599999999976 1.10259999999994 0.8445999999999 0.920200000000023 -66.1553 0.626656727283863 0.324700000000121 1.056318577355 -0.154154446780998 0.830496191735805 1.46462213678326 1.33352792290227 1.33352792290227 0.955562154650348 1.33352792290227 1.20846195998773 0.967421566101701 3.958333863 18.6604 KBKWPZH
20 0.709062367635084 0.841463414634146 0.621951219512195 0.670731707317073 0.792682926829268 0.58641975308642 0.475308641975309 0.753834090475617 0.660279297152347 0.248677801926938 1.21883531638668 0.600855511026883 0.83510871382553 0.572722918185902 1.84099070071679 0.659090909090909 0.852272727272727 0.465909090909091 0.65 0.8375 0.4625 1.30900000000003 2.52300000000002 1.166 2.24899999999991 1.76599999999985 3.43099999999998 0.781999999999954 -0.000999999999862666 0.714000000000055 0.714999999999918 0.715000000000032 0.705999999999904 0.780499999999961 0.646999999999935 0.932000000000016 0.880999999999972 0.780999999999949 0.714499999999987 0.696999999999889 0.779999999999973 0.638499999999908 0.914500000000032 0.880999999999858 0.806500000000028 0.781000000000063 1.16399999999999 0.814999999999998 0.663999999999987 0.747000000000014 -120.283 -0.280276394222685 1.18200000000007 0.0543906775121419 -1.03635268369776 1.20846195998773 2.94817396274898 0.830496191735805 0.919700308024885 1.08706967914154 1.46462213678326 1.38109440559315 1.46197726467437 0 34.651 KBPRHKZ
